training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.1403,0.0485,0,2.9962
0,1,0.2283,0.0565,0,2.9965
0,2,0.2741,0.0565,0,2.9965
0,3,0.3023,0.0565,0,2.9965
0,4,0.3296,0.0565,0,2.9965
0,5,0.3510,0.0565,0,2.9965
0,6,0.3778,0.0385,0,2.9988
0,7,0.3931,0.0385,0,2.9988
0,8,0.4112,0.0385,0,2.9988
0,9,0.4267,0.0385,0,2.9988
0,10,0.4467,0.0385,0,2.9988
0,11,0.4532,0.0480,0,2.9983
0,12,0.4723,0.0480,0,2.9983
0,13,0.4822,0.0480,0,2.9983
0,14,0.4839,0.0480,0,2.9983
0,15,0.4970,0.0480,0,2.9983
0,16,0.5107,0.0450,0,2.9997
0,17,0.5287,0.0450,0,2.9997
0,18,0.5320,0.0450,0,2.9997
0,19,0.5414,0.0450,0,2.9997
0,20,0.5527,0.0450,0,2.9997
0,21,0.5568,0.0435,0,2.9992
0,22,0.5622,0.0435,0,2.9992
0,23,0.5690,0.0435,0,2.9992
0,24,0.5789,0.0435,0,2.9992
0,25,0.5830,0.0435,0,2.9992
0,26,0.5926,0.0370,0,2.9986
0,27,0.6046,0.0370,0,2.9986
0,28,0.6031,0.0370,0,2.9986
0,29,0.6077,0.0370,0,2.9986
0,30,0.6198,0.0370,0,2.9986
0,31,0.6217,0.0405,0,2.9990
0,32,0.6249,0.0405,0,2.9990
0,33,0.6339,0.0405,0,2.9990
0,34,0.6396,0.0405,0,2.9990
0,35,0.6438,0.0405,0,2.9990
0,36,0.6442,0.0405,0,3.0034
0,37,0.6472,0.0405,0,3.0034
0,38,0.6559,0.0405,0,3.0034
0,39,0.6629,0.0405,0,3.0034
0,40,0.6625,0.0405,0,3.0034
1,0,0.3034,0.0405,0,2.9990
1,1,0.4090,0.0430,0,3.0007
1,2,0.4297,0.0430,0,3.0007
1,3,0.4530,0.0430,0,3.0007
1,4,0.4694,0.0430,0,3.0007
1,5,0.4895,0.0430,0,3.0007
1,6,0.4922,0.0420,0,3.0051
1,7,0.5125,0.0420,0,3.0051
1,8,0.5182,0.0420,0,3.0051
1,9,0.5295,0.0420,0,3.0051
